Designator,Mid X,Mid Y,Rotation,Layer
C1,177.0,-52.275,270.0,top
C10,150.52,-61.5,0.0,top
C2,180.5,-52.275,270.0,top
C3,181.5,-108.0,180.0,top
C4,183.775,-98.0,0.0,top
C5,236.02,-72.0,0.0,top
C6,160.0,-61.5,0.0,top
C7,197.5,-80.5,0.0,top
C8,166.98,-121.5,0.0,top
C9,219.5,-120.0,0.0,top
D1,152.55,-66.15,0.0,top
D2,167.05,-116.35,0.0,top
D3,219.55,-115.35,0.0,top
D4,236.05,-65.65,0.0,top
P1,193.3,-102.015,0.0,top
R1,187.0,-90.825,90.0,top
R2,205.675,-66.5,0.0,top
R3,193.175,-94.0,0.0,top
R4,209.175,-70.0,180.0,top
SW1,182.425,-82.575,0.0,top
SW2,182.0,-74.925,0.0,top
SW3,202.425,-82.425,0.0,top
SW4,202.425,-74.925,0.0,top
U1,193.25,-58.09,0.0,top
U2,192.5,-87.5,90.0,top
U3,182.3302,-103.03,0.0,top
U4,192.5,-75.5,180.0,top
